Sample,Subtype
GSM1116084,TN
GSM1116085,TN
GSM1116086,HER2
GSM1116087,TN
GSM1116088,HER2
GSM1116089,HER2
GSM1116090,TN
GSM1116091,TN
GSM1116092,TN
GSM1116093,TN
GSM1116094,TN
GSM1116095,HER2
GSM1116096,HER2
GSM1116097,HER2
GSM1116098,HER2
GSM1116099,TN
GSM1116100,HER2
GSM1116101,TN
GSM1116102,TN
GSM1116103,HER2
GSM1116104,HER2
GSM1116105,HER2
GSM1116106,TN
GSM1116107,HER2
GSM1116108,TN
GSM1116109,TN
GSM1116110,TN
GSM1116111,TN
GSM1116112,TN
GSM1116113,TN
GSM1116114,TN
GSM1116115,TN
GSM1116116,HER2
GSM1116117,HER2
GSM1116118,TN
GSM1116119,TN
GSM1116120,TN
GSM1116121,HER2
GSM1116122,HER2
GSM1116123,HER2
GSM1116124,TN
GSM1116125,TN
GSM1116126,HER2
GSM1116127,HER2
GSM1116128,TN
GSM1116129,HER2
GSM1116130,TN
GSM1116131,TN
GSM1116132,HER2
GSM1116133,HER2
GSM1116134,HER2
GSM1116135,TN
GSM1116136,TN
GSM1116137,HER2
GSM1116138,TN
GSM1116139,TN
GSM1116140,HER2
GSM1116141,HER2
GSM1116142,TN
GSM1116143,TN
GSM1116144,TN
GSM1116145,TN
GSM1116146,TN
GSM1116147,TN
GSM1116148,TN
GSM1116149,TN
GSM1116150,TN
GSM1116151,HER2
GSM1116152,HER2
GSM1116153,HER2
GSM1116154,HER2
GSM1116169,normal
GSM1116170,normal
GSM1116171,normal
GSM1116172,normal
GSM1116173,normal
GSM1116174,normal
GSM1116175,normal
GSM1116176,normal
GSM1116177,normal
GSM1116178,normal
GSM1116179,normal
GSM1116180,LumA
GSM1116181,LumA
GSM1116182,LumB
GSM1116183,LumB
GSM1116184,LumA
GSM1116185,LumB
GSM1116186,LumB
GSM1116187,LumA
GSM1116188,LumB
GSM1116189,LumB
GSM1116190,LumA
GSM1116191,LumA
GSM1116192,LumB
GSM1116193,LumB
GSM1116194,LumA
GSM1116195,LumA
GSM1116196,LumB
GSM1116197,LumB
GSM1116198,LumB
GSM1116199,LumA
GSM1116200,LumA
GSM1116201,LumB
GSM1116202,LumB
GSM1116203,LumA
GSM1116204,LumA
GSM1116205,LumA
GSM1116206,LumB
GSM1116207,LumB
GSM1116208,LumA
GSM1116209,LumA
GSM1116210,LumB
GSM1116211,LumB
GSM1116212,LumB
GSM1116213,LumA
GSM1116214,LumB
GSM1116215,LumB
GSM1116216,LumA
GSM1116217,LumA
GSM1116218,LumB
GSM1116219,LumB
GSM1116220,LumA
GSM1116221,LumA
GSM1116222,LumA
GSM1116223,LumA
GSM1116224,LumA
GSM1116225,LumA
GSM1116226,LumB
GSM1116227,LumB
GSM1116228,LumA
GSM1116229,LumB
GSM1116230,LumB
GSM1116231,LumA
GSM1116232,LumA
GSM1116233,LumB
GSM1116234,LumA
GSM1116235,LumA
GSM1116236,LumB
GSM1116237,LumB
GSM1116238,LumB
GSM1116155,
GSM1116156,
GSM1116157,
GSM1116158,
GSM1116159,
GSM1116160,
GSM1116161,
GSM1116162,
GSM1116163,
GSM1116164,
GSM1116165,
GSM1116166,
GSM1116167,
GSM1116168,
