Gene,Log2FoldChange,PValue,AdjustedPValue
1552264_a_at,0.5288915530014227,6.301066238219245e-09,1.3007978622535264e-07
1552277_a_at,0.5172227351614627,5.696407573313797e-06,3.910896047575954e-05
1552370_at,0.6119792135261419,1.8336344295091828e-06,1.5578591489845935e-05
1552477_a_at,0.6371318859711192,0.00040774959257465623,0.001256348203134619
1552509_a_at,-1.3985212842832007,7.83287092652168e-06,5.07336340670112e-05
1552519_at,-1.1158781684131727,0.00012157847698720594,0.00047160008629552213
1552610_a_at,0.8697821951536273,4.4576803605460565e-05,0.00020881265129407526
1552617_a_at,0.6706157823341998,0.00020506596062734334,0.0007191204660038301
1552619_a_at,0.72140208969829,5.087688498630904e-22,1.575647776597053e-19
1552625_a_at,0.5893103144227099,6.2495640087493685e-06,4.226555944518025e-05
1552685_a_at,0.5560396243403649,2.801912783573195e-06,2.19278854259624e-05
1552977_a_at,0.5359971306444122,0.0003546863300626244,0.0011239195981362804
1553102_a_at,-0.5013927338957815,0.0002746382583709551,0.0009128734899362602
1553105_s_at,0.9071768383455985,5.9589410227946646e-05,0.00026425992611775863
1553117_a_at,0.7352359460372044,4.079769151966559e-06,2.995472063142115e-05
1553243_at,-0.88449628273478,1.5820687591309948e-06,1.3802440996717604e-05
1553434_at,0.5351191591242954,0.0028739458988510823,0.006296333838685701
1553535_a_at,0.7197387321834432,1.6756340078437786e-08,3.0317709922658603e-07
1553602_at,-1.3266009188894783,2.143746772192775e-21,5.929444775828016e-19
1553694_a_at,0.6869499816402866,1.7505712297844572e-09,4.3004164289573445e-08
1553928_at,0.5205077413036037,5.37331333235503e-12,2.576430431205609e-10
1553962_s_at,0.9861068030290736,1.3715227894377497e-06,1.2244509493749092e-05
1553976_a_at,0.605270881802054,0.0017792885551084266,0.004214646556038293
1554006_a_at,0.5843027413476969,5.758011285220178e-06,3.9450301172499344e-05
1554007_at,-0.6124011243542147,2.7389537015610377e-13,1.733432732479477e-11
1554148_a_at,0.5641101323333384,1.396380431507736e-10,4.692089566929032e-09
1554167_a_at,0.7868523156701754,4.20601149656211e-05,0.00019895799750641862
1554260_a_at,0.6556103541837977,1.3277264011417868e-07,1.7281848825667735e-06
1554271_a_at,0.7787815206635302,1.4440427014943691e-11,6.309241305449944e-10
1554365_a_at,0.6705601584521501,3.1831157326083815e-05,0.00015876779623389144
1554390_s_at,0.5899796493626761,6.45285552964719e-07,6.56091560182508e-06
1554397_s_at,0.7196975113207227,5.331203568834079e-10,1.5195964981699583e-08
1554408_a_at,0.9412753752593876,1.3072053998979628e-12,7.204582971540949e-11
1554417_s_at,0.7160103665655102,5.357438992402542e-06,3.7166144352310436e-05
1554433_a_at,0.8031172673787599,4.239357824348514e-09,9.291129635285311e-08
1554441_a_at,0.7671397627105452,1.0644121515319262e-05,6.527636992519339e-05
1554451_s_at,0.5901500522669612,4.268851907078753e-06,3.0981327543308184e-05
1554462_a_at,0.5757528284620848,0.0004078226450912157,0.001256443693705115
1554464_a_at,0.6713039427738341,0.0021657696271691965,0.004946923864719241
1554466_a_at,2.1559665424643204,7.674505389789095e-08,1.0890870546497854e-06
1554482_a_at,0.6536781799617559,6.99723127918976e-10,1.935420672070461e-08
1554513_s_at,0.5712299734511848,1.1638357471365195e-05,7.001220103045539e-05
1554553_s_at,0.7353379950184831,9.413441372688883e-07,8.952509413720545e-06
1554572_a_at,0.656119744557917,5.647552066235135e-09,1.1813982865726608e-07
1554574_a_at,0.7981259689443037,0.0004878976440649579,0.001451207649458172
1554575_a_at,0.6016405994597647,9.990284139639528e-08,1.3633155222444587e-06
1554599_x_at,0.718727348592509,0.00017431434059645375,0.000631089320360837
1554627_a_at,0.9037509994812023,8.727234149555285e-07,8.425983791710261e-06
1554679_a_at,0.9629931325932164,1.7361871713397263e-07,2.16189657792349e-06
1554696_s_at,0.9788110649905928,1.012130782501071e-23,4.141694621215342e-21
1554747_a_at,0.8380212754349468,1.1514708487821387e-05,6.934826047342751e-05
1554768_a_at,0.9804837659880994,1.328760006473736e-16,1.7108930566113554e-14
1554807_a_at,0.5423883437376191,2.984239179152873e-06,2.3160611265173974e-05
1554894_a_at,0.5074446076294183,4.942594199087699e-06,3.482197497998768e-05
1555058_a_at,0.6636657664361869,0.0003425032977913329,0.0010930831743186642
1555154_a_at,0.5485616948113328,1.4407754572893257e-05,8.334206188099004e-05
1555167_s_at,0.564426791415372,1.3235290298022142e-08,2.460265039094695e-07
1555216_a_at,-0.52269294909568,0.0010479788900351133,0.0027219568214180423
1555226_s_at,0.8387583060376098,0.0011076830630389063,0.0028478103502107073
1555229_a_at,0.8557047371830122,4.422303525594478e-06,3.1939809215802284e-05
1555274_a_at,0.6997914597750996,4.060492212907229e-06,2.9824200487820194e-05
1555278_a_at,0.6210321886099011,5.8799839961830725e-05,0.00026127664657592736
1555326_a_at,0.532492625966686,4.754427115176775e-14,3.5515993375061703e-12
1555334_s_at,0.6063199482557384,2.0463403411279197e-06,1.7027375674142956e-05
1555349_a_at,0.5429538407006378,0.00019727078529459312,0.0006969690003926772
1555419_a_at,0.6214659716303124,0.0032652715657869097,0.006995137135196971
1555427_s_at,0.7446676362863887,1.3202050449694384e-07,1.7217669496535338e-06
1555460_a_at,0.7573461848121248,4.929911679786468e-05,0.00022652872127146804
1555543_a_at,0.6360404958573618,6.675368134393451e-05,0.00028970884339764806
1555618_s_at,0.8209732044782303,2.664003920768379e-07,3.1061329087116713e-06
1555730_a_at,0.5214071227666053,8.232567104677354e-05,0.000343804340208195
1555736_a_at,0.7856281189427357,2.3870272530841495e-05,0.0001256036818903531
1555745_a_at,0.5249508425699219,5.428310872877174e-06,3.7579680969860416e-05
1555751_a_at,0.5913939414411309,0.00023017070472006212,0.0007893983112970948
1555756_a_at,0.5907015398106159,8.471712480949669e-16,9.372851675219575e-14
1555758_a_at,1.176749020948433,5.433888236424097e-37,1.2486239184496972e-33
1555760_a_at,0.5495512442614112,0.000171328108851175,0.00062269293923863
1555780_a_at,0.5214975122619503,0.00017626662504176285,0.0006363065405737209
1555788_a_at,0.5258759728569757,1.7531119273709811e-10,5.711213076393079e-09
1555812_a_at,0.5246224502560919,0.0023835946862693644,0.005366096952915703
1555814_a_at,0.713961827334423,0.0019307371856724224,0.004503746775761878
1555827_at,0.6797193224060933,2.7157800817151038e-11,1.0937406850718825e-09
1555831_s_at,0.7897649585315039,1.8564254524650424e-05,0.00010244807152417466
1555858_at,0.7193481550482501,2.4437959356705892e-18,4.1954639189857377e-16
1555860_x_at,0.5892733362536049,1.422184179548458e-10,4.757389228608234e-09
1555920_at,0.6517892676613473,3.673385323124312e-05,0.00017830901262978462
1555929_s_at,-0.658460513083436,6.9848353432707494e-06,4.6151515455470874e-05
1555989_at,0.7197759354653392,3.2027005259461964e-05,0.00015955815562218942
1555996_s_at,0.9754050353825747,2.3872262051890303e-10,7.459332761653422e-09
1556006_s_at,0.7072083875472615,1.2607197087337994e-06,1.1419108289659204e-05
1556026_at,-0.5240261367136823,1.542734063895624e-05,8.804843705901812e-05
1556116_s_at,-0.5530034933370476,0.004993091863698458,0.01003253111941887
1556123_a_at,-0.5634806601644029,2.2050212429097682e-12,1.1617000805679117e-10
1556185_a_at,-0.5809587459936667,2.0169082948961464e-05,0.00010966342297986473
1556206_at,-1.2260641554217249,5.2796668788453756e-05,0.00023939618853198097
1556338_at,0.6895330352182611,1.6258993997871577e-05,9.190436750007243e-05
1556364_at,-1.0348453129342532,5.0022765769068366e-09,1.0620327356457785e-07
1556427_s_at,-1.2081295286941707,6.801931927836921e-07,6.869077435711444e-06
1556474_a_at,0.632991108939718,1.6219898968969822e-11,6.938751886058702e-10
1556486_at,-0.5706588280109692,0.0011434871891358117,0.0029252589975049216
1556551_s_at,0.5556923198636072,3.880762335476865e-07,4.26023457187194e-06
1556579_s_at,-0.7564525356976133,9.38292745207992e-06,5.876033728480742e-05
1556735_at,-0.5704649448237318,3.4271326009590195e-06,2.5996776296558618e-05
1556773_at,-0.5477110058554671,0.009502470137177397,0.017432769633222576
1556794_at,-0.7705606455604557,0.00013369613809335158,0.0005097346569399615
1557411_s_at,0.5608887767339934,0.00010707792735730642,0.00042637054732304146
1557598_at,-0.6944283550147632,0.00010815863252683038,0.0004298143768579855
1557910_at,1.0622807982888496,0.0002698720320446714,0.0008998345062215006
1557950_at,0.7577206600305888,0.0001896079297162007,0.0006756492993537335
1557961_s_at,-0.5051785560434232,1.5440757364496857e-10,5.096644243008289e-09
1558014_s_at,0.5007960213341174,9.402812495638374e-16,1.0326500546680496e-13
1558015_s_at,0.7204352978395692,2.415303576969699e-16,2.993773794657213e-14
1558048_x_at,-0.5599699747313469,1.6553006290870735e-10,5.433751691438358e-09
1558080_s_at,0.5465558794008256,5.671045674241516e-07,5.895419401474114e-06
1558093_s_at,0.8743173877878494,2.8763109351635867e-08,4.821613931268612e-07
1558111_at,0.5212237555150723,0.000633471451604719,0.0017955270141698611
1558143_a_at,0.6193436977316882,1.7990066184677556e-07,2.22525572285171e-06
1558170_at,-0.9218659839508923,3.2311480949375204e-09,7.368004266562871e-08
1558199_at,0.6442436518577246,5.761364580194124e-06,3.9455177152581125e-05
1558214_s_at,0.7974853325376947,1.6587137126778628e-07,2.0818947909711392e-06
1558254_s_at,0.8681670034774487,3.88109333387945e-10,1.1467459947541733e-08
1558444_at,-0.617047424479714,4.7130248587620086e-08,7.287136572512357e-07
1558828_s_at,-0.5639287845670942,1.852851023813318e-14,1.5122504312391103e-12
1559025_at,0.603432703877671,0.00011229391308093999,0.0004426555518017735
1559052_s_at,0.9388906086661217,9.922026590908338e-08,1.355859004225132e-06
1559078_at,-0.525638596748903,1.1572299863082934e-06,1.0642073666846297e-05
1559170_at,-0.7893545590773847,0.00023420432899879724,0.0008012083962267603
1559397_s_at,0.5542862643649431,1.743239655839678e-08,3.133216305610281e-07
1559399_s_at,0.6765399130286305,7.964880985928757e-06,5.145478477760896e-05
1559500_at,1.1889123287623506,7.98197163422202e-05,0.00033520918971224
1559881_s_at,0.7573127216438125,0.0005903947072253612,0.0017010291950459097
1559910_at,-0.669958507053696,2.4097702473182125e-05,0.000126577557284842
1559954_s_at,0.6454953958316554,5.116298287232437e-06,3.583448122771568e-05
1560025_at,-0.6061974482729351,0.0025652275809444486,0.005718118563058608
1560049_at,-0.7562875108608753,8.468213682366762e-07,8.226422085192194e-06
1560081_at,-0.5673891558209223,7.505989039710264e-20,1.6015636042444643e-17
1560144_at,-1.134728058452437,1.2906352968757472e-07,1.6928212921063207e-06
1560342_at,0.7436713716519869,4.785629623915533e-08,7.368882893072413e-07
1561754_at,-1.2639495601527573,5.074968958266536e-12,2.453065901639773e-10
1562321_at,-0.5203138267611647,0.0016212872189848536,0.0038978745919932027
